Compression Level,Time (seconds),Compressed Size (bytes),Decompress Time (seconds)
1,0.29175734519958496,128310,0.02748560905456543
2,0.30438923835754395,113487,0.02482438087463379
3,0.2930908203125,107923,0.023558616638183594
4,0.2887866497039795,105697,0.027254819869995117
5,0.3301277160644531,104020,0.03640627861022949
6,0.3898050785064697,103335,0.03458142280578613
7,0.3792855739593506,102892,0.04125809669494629
8,0.386150598526001,101700,0.031459808349609375
9,0.38254451751708984,103244,0.05115485191345215
